Lot,LotID,HorseID,HorseUUID,Name,horseGender,yob,cob,colour,SireID,SireUUID,sireName,Stallion Match Rating,lotPedigreeStrength,lotSpeedPct,lotClassicPct,lotStaminaPct,lotDI,lotCI,vendorName,vendorLotsOffered_5y,vendorLotsSold_5y,vendorStakesWinners_5y,vendorWinners_5y,damUrl,stallionName,stallionFarm,stallionFee,matingMatchRating,matingPedigreeStrength,matingSpeedPct,matingClassicPct,matingStaminaPct,matingDI,matingCI,stallionSearchUrl
686,832642,1054215,74B1879F-6BCC-EE11-8DC2-E8D8D1C4DF34,Tanto,Mare,2019,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,45.8,62.96,7.41,29.63,2,0.407,Newington Farm Premium Consignment,0,0,0,0,https://stallionmatch.com/race-horse/Tanto/74B1879F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,36.8,78.26,4.35,17.39,4.111,0.913,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=74B1879F-6BCC-EE11-8DC2-E8D8D1C4DF34
687,832643,1023231,E554849F-6BCC-EE11-8DC2-E8D8D1C4DF34,Thalassophile,Mare,2018,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,58.5,37.04,59.26,3.7,2,0.667,Newgate Farm,628,589,17,262,https://stallionmatch.com/race-horse/Thalassophile/E554849F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,55,65.22,34.78,0,4.75,1.13,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=E554849F-6BCC-EE11-8DC2-E8D8D1C4DF34
688,832644,554123,4C63599F-6BCC-EE11-8DC2-E8D8D1C4DF34,The Duster,Mare,2012,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,69.2,33.33,62.96,3.7,1.842,0.63,Twin Hills Stud,401,313,3,109,https://stallionmatch.com/race-horse/The%20Duster/4C63599F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,55.1,62.5,37.5,0,4.333,1.083,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=4C63599F-6BCC-EE11-8DC2-E8D8D1C4DF34
689,832645,1568073,22A1B4B4-990E-EF11-8DD1-E8D8D1C4DF34,The Way We Were,Mare,2019,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,NORMAL MATCH,96.4,7.41,55.56,37.04,0.543,-0.37,Newgate Farm,628,589,17,262,https://stallionmatch.com/race-horse/The%20Way%20We%20Were/22A1B4B4-990E-EF11-8DD1-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,52.5,45.83,33.33,20.83,1.667,0.458,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=22A1B4B4-990E-EF11-8DD1-E8D8D1C4DF34
690,832646,804849,4EE2709F-6BCC-EE11-8DC2-E8D8D1C4DF34,Timbuktu,Mare,2012,IRE,Missing,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,PERFECT MATCH,86.5,80.77,11.54,7.69,6.429,1.115,Coolmore Stud,597,555,17,207,https://stallionmatch.com/race-horse/Timbuktu/4EE2709F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,22.3,91.3,4.35,4.35,14.333,1.391,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=4EE2709F-6BCC-EE11-8DC2-E8D8D1C4DF34
691,832647,1433996,E6BAAD9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Tinamou,Mare,2021,AUS,Brown,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,10.7,15.63,53.13,31.25,0.73,-0.281,Fernrigg Farm,279,233,1,78,https://stallionmatch.com/race-horse/Tinamou/E6BAAD9F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,28.2,50,29.17,20.83,1.824,0.458,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=E6BAAD9F-6BCC-EE11-8DC2-E8D8D1C4DF34
692,832648,645139,EA60619F-6BCC-EE11-8DC2-E8D8D1C4DF34,Tinto Fino,Mare,2015,NZL,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,26.9,9.68,51.61,38.71,0.55,-0.355,Glenbeigh Farm,100,79,2,13,https://stallionmatch.com/race-horse/Tinto%20Fino/EA60619F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",NORMAL MATCH,18.1,45.83,29.17,25,1.526,0.417,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=EA60619F-6BCC-EE11-8DC2-E8D8D1C4DF34
693,832649,635370,4656609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Token Of Love,Mare,2012,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,66.9,44.44,25.93,29.63,1.348,0.296,Eureka Stud,457,398,9,163,https://stallionmatch.com/race-horse/Token%20Of%20Love/4656609F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,21.4,70.83,12.5,16.67,3.364,0.917,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=4656609F-6BCC-EE11-8DC2-E8D8D1C4DF34
694,832650,1030162,9C59859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Traviata,Mare,2020,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,40.8,55.17,41.38,3.45,3.143,1.034,Bell View Park Stud,0,0,0,0,https://stallionmatch.com/race-horse/Traviata/9C59859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,35.2,75,25,0,7,1.333,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=9C59859F-6BCC-EE11-8DC2-E8D8D1C4DF34
695,832651,563497,7D7D599F-6BCC-EE11-8DC2-E8D8D1C4DF34,Turbo Miss,Mare,2012,AUS,Bay,1033498,6066859F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,20/20 MATCH,54,56.67,33.33,10,2.75,0.7,Vinery Stud,614,515,15,209,https://stallionmatch.com/race-horse/Turbo%20Miss/7D7D599F-6BCC-EE11-8DC2-E8D8D1C4DF34,Southport Tycoon,Widden Stud - Victoria,"AUD 33,000 (2026)",20/20 MATCH,67.8,79.17,16.67,4.17,7,1.167,https://stallionmatch.com/stallion-search?stallionId=0F776DAC-9DF8-EF11-ACD3-02C4308ABA4F&mareId=7D7D599F-6BCC-EE11-8DC2-E8D8D1C4DF34
